Vaccine,Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
IBCG,Norway,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,Not classified,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,OECD members,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,Oman,98,98,98,98,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99
IBCG,Other small states,86.26184763,84.76357889,87.23428011,89.98944486,90.88742897,91.49484926,91.49092694,92.13394543,92.32997017,90.88357977,90.99353239,90.79894455,93.33102207,93.96552827,93.96655722,93.88712311,93.6098491,94.23203726,93.69368612,92.86518353
IBCG,Pacific island small states,90.11011778,89.86777961,89.47851593,89.65557048,93.73320112,92.7037846,93.01807691,94.76931825,93.4112837,92.33511459,92.13106787,94.14627131,91.66219239,90.06752129,89.34906301,88.1590154,87.85488719,88.76290621,88.12915184,89.00290765
IBCG,Pakistan,74,78,82,80,78,78,77,77,75,74,74,83,84,84,85,86,86,86,87,88
IBCG,Palau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,Panama,99,99,99,99,99,99,98,97,98,99,99,99,98,95,99,99,99,99,99,99
IBCG,Papua New Guinea,88,81,84,89,89,90,90,81,80,89,88,91,91,93,84,67,72,62,52,52
IBCG,Paraguay,85,86,83,88,97,98,99,98,94,91,93,94,93,91,96,96,94,96,91,87
IBCG,Peru,93,87,92,94,95,95,96,96,97,97,95,91,95,95,94,91,90,84,81,81
IBCG,Philippines,92,92,85,86,91,91,91,90,93,90,83,91,89,87,79,80,90,82,75,75
IBCG,Poland,96,95,95,93,94,94,94,93,93,94,93,94,94,93,92,94,93,92,92,92
IBCG,Portugal,82,82,81,81,83,89,99,98,98,98,96,97,99,99,99,32,..,..,..,..
IBCG,Post-demographic dividend,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,Pre-demographic dividend,66.17634056,66.97761537,66.57558895,68.31082248,70.96486775,73.24059657,74.75955551,77.02926482,79.75254179,83.01445473,80.73293769,77.51442648,79.28036439,76.60520087,77.52530653,76.59033869,79.11298727,80.3174581,79.48244597,79.68122844
IBCG,Puerto Rico,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,Qatar,99,99,99,99,99,99,99,96,97,98,99,97,97,98,90,97,97,99,99,99
IBCG,Romania,99,99,99,99,99,98,99,99,99,99,99,99,99,98,98,98,84,97,96,96
IBCG,Russian Federation,96,96,97,97,96,97,97,97,96,96,96,95,96,96,96,96,96,95,95,96
IBCG,Rwanda,81,74,81,88,86,91,98,89,93,99,99,99,99,99,99,99,99,98,97,98
IBCG,Samoa,97,98,98,73,93,86,84,91,98,92,87,95,90,89,89,83,76,83,62,90
IBCG,San Marino,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,Sao Tome and Principe,81,92,96,99,99,98,98,98,99,99,99,99,99,97,95,97,92,94,96,95
IBCG,Saudi Arabia,94,94,98,94,95,96,95,96,98,98,98,98,99,99,98,98,98,97,98,52
IBCG,Senegal,89,89,70,77,95,92,94,96,98,97,97,97,97,97,95,95,97,99,83,99
IBCG,Serbia,85,88,91,94,97,98,99,98,99,98,99,99,98,97,98,98,98,97,98,98
IBCG,Seychelles,99,99,99,99,99,99,99,99,99,96,99,99,99,99,98,99,99,99,97,98
IBCG,Sierra Leone,74,63,76,89,86,85,83,82,91,96,97,97,98,99,90,90,92,90,88,86
IBCG,Singapore,99,98,98,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99,98,98
IBCG,Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,Slovak Republic,94,93,98,98,98,98,98,98,98,97,98,97,90,..,..,..,..,..,..,..
IBCG,Slovenia,98,98,97,97,96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
